"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"31","hsa04062 Chemokine signaling pathway",0.0203950164257999,0.194479232263311,0.352487857583619,0.422685801216165,1.49653711877786,183,"c(""PF4V1"", ""CXCR1"", ""CCL25"", ""PPBP"", ""CXCL5"", ""GRK1"", ""CCL20"", ""CXCR2"", ""CXCL13"", ""CXCR5"", ""CCL23"", ""CCL24"", ""CCL4L2"", ""GNG7"", ""CCR10"", ""CCL3"", ""SHC2"", ""CCL26"", ""XCL1"", ""CCR3"", ""CXCL10"", ""CCL22"", ""CXCL11"", ""CXCL1"", ""CCL13"", ""JAK3"", ""CCR7"", ""CCL8"", ""CCR2"", ""HCK"", ""ADCY2"", ""CCR4"", ""CX3CR1"", ""RASGRP2"", ""CXCL8"", ""CXCL16"", ""CCR6"", ""GNGT2"", ""CXCL9"", ""FGR"", ""CCL3L1"", ""CCL4"", ""SRC"", ""STAT2"", ""CCL19"", ""PTK2B"", ""ARRB1"", ""NFKBIA"", ""PIK3CD"", ""PLCB4"", ""PIK3R6"", ""GRB2"", ""PXN"", ""PLCB3"", ""PIK3R5"", ""PRKCB"", ""STAT3"", 
""ARRB2"", ""RAC3"", ""NCF1"", ""PIK3R2"", ""ADCY9"", ""PRKCZ"", ""MAPK3"", ""GRK2"", ""GSK3A"", ""PREX1"", ""CXCR6"", ""CCR8"", ""PLCG2"", ""VAV1"", ""PLCB2"", ""GNAI2"", ""ITK"", ""PIK3R3"", ""RELA"")"
"32","hsa04064 NF-kappa B signaling pathway",0.77720207253886,1,0.0697792517076235,0.248931422171165,0.834991287519634,104,"c(""LOC102723407"", ""CCL4L2"", ""LTB"", ""TNFRSF13C"", ""TNF"", ""RELB"", ""NFKB2"", ""CXCL1"", ""CCL13"", ""LTA"", ""PLAU"", ""CD40"", ""CXCL8"", ""ICAM1"", ""CCL4"", ""BCL2L1"", ""GADD45G"", ""CD14"", ""MAP3K14"", ""TICAM1"", ""CCL19"", ""BIRC3"", ""TRAF2"", ""VCAM1"", ""NFKBIA"")"
"33","hsa04066 HIF-1 signaling pathway",0.982142857142857,1,0.0369160593316849,-0.210522674981964,-0.624841797181564,103,"c(""ALDOB"", ""EPO"", ""ANGPT1"", ""TFRC"", ""TF"", ""HKDC1"", ""EDN1"", ""LDHA"", ""SLC2A1"", ""EGFR"", ""GAPDH"", ""IGF1"", ""PDK1"", ""HK2"", ""PIK3CA"", ""CUL2"", ""LDHB"", ""EGLN1"", ""NOS2"", ""PGK1"", ""PIK3CB"", ""CDKN1B"", ""ENO2"", ""AKT3"")"
"34","hsa04068 FoxO signaling pathway",0.76791277258567,1,0.0463227785794633,-0.265377537342501,-0.811373853684601,130,"c(""PCK1"", ""G6PC1"", ""MAPK10"", ""C8orf44-SGK3"", ""BNIP3"", ""HOMER1"", ""PRKAA2"", ""TGFB2"", ""SGK2"", ""PLK2"", ""PLK4"", ""EGFR"", ""PTEN"", ""FBXO25"", ""GADD45A"", ""RAG1"", ""IGF1"")"
"35","hsa04070 Phosphatidylinositol signaling system",0.96198347107438,1,0.0387166740042594,-0.225343173058995,-0.657328005372477,93,"c(""PIK3C2G"", ""ITPKA"", ""CDS1"", ""MTMR7"", ""PTEN"", ""CALML4"", ""MTMR6"", ""DGKB"", ""IPMK"", ""PI4K2B"", ""PIK3CA"", ""PLCE1"", ""MTMR2"", ""INPP4B"", ""DGKI"", ""PIK3C2A"", ""ITPR3"", ""PIK3CB"", ""CALM2"")"
"36","hsa04071 Sphingolipid signaling pathway",0.941666666666667,1,0.0637845390312975,0.213871491357344,0.719094890112542,121,"c(""PRKCG"", ""PPP2R3B"", ""BDKRB2"", ""S1PR4"", ""SPHK1"", ""TNF"", ""ADORA1"", ""CTSD"", ""SGPP2"", ""CERS1"", ""OPRD1"", ""S1PR5"", ""S1PR2"", ""BAX"", ""SPHK2"", ""PPP2R2C"", ""TRAF2"", ""MS4A2"", ""ADORA3"", ""PIK3CD"", ""PLCB4"", ""SGPL1"", ""PLCB3"", ""CERS4"", ""PLD2"", ""PRKCB"", ""RAC3"", ""PIK3R2"", ""PRKCZ"", ""MAPK12"", ""MAPK3"", ""PLCB2"", ""GNAI2"", ""MAPK13"", ""PIK3R3"", ""RELA"", ""MAP2K2"", ""S1PR3"", ""SMPD1"", ""S1PR1"", ""ACER1"", ""ABCC1"", ""AKT2"")"
"37","hsa04072 Phospholipase D signaling pathway",0.294392523364486,0.711415904682738,0.0946646223153342,-0.358986279498862,-1.11048589188243,142,"c(""GRM6"", ""F2"", ""AGTR1"", ""AGT"")"
"38","hsa04080 Neuroactive ligand-receptor interaction",0.0743338008415147,0.369814366424536,0.193813302725311,-0.381371450908892,-1.26120715124207,274,"c(""GRM6"", ""F2"", ""KNG1"", ""GCGR"", ""PLG"", ""GLP2R"", ""RLN2"", ""GABRA4"", ""GABRG1"", ""GPHB5"", ""GRID2"", ""AGTR1"", ""CHRM2"", ""AGT"", ""GABRB2"", ""LHCGR"", ""CALCA"", ""PTH1R"", ""NPY5R"", ""PAQR9"", ""SSTR1"", ""NMBR"", ""QRFPR"", ""RLN1"", ""ADRA1A"", ""SCTR"", ""GALR1"", ""HTR7"", ""MLNR"", ""F2RL3"", ""CORT"", ""GLRA3"", ""CHRNB2"", ""LEPR"", ""THRB"", ""GHR"", ""PTGFR"", ""CHRM5"", ""NTS"", ""LPAR3"", ""LEP"", ""C3"", ""GPR156"", ""C5"", ""DRD1"", ""GRIK1"", ""HTR2A"", ""HTR4"", ""VIP"", ""GLRA2"", ""GRIA4"", ""CHRNA5"", ""EDN1"", ""TMEM97"", ""UTS2B"", ""PTGER3"", ""ADCYAP1"", ""HTR1F"", ""LYPD6B"", 
""NPFFR2"", ""OGFRL1"", ""GABRA3"", ""GABRP"", ""EDNRB"", ""MCHR1"", ""PTGDR"")"
"39","hsa04110 Cell cycle",0.14175654853621,0.479021168317904,0.143758989039275,-0.397395128735599,-1.24019806268228,157,"c(""SMC1B"", ""SMC3"", ""CDC25A"", ""CDC45"", ""TTK"", ""MAD2L1"", ""TGFB2"", ""SGO1"", ""CDC20"", ""ESCO1"", ""CCNE2"", ""KNL1"", ""HDAC2"", ""NDC80"", ""FBXO5"", ""ATRX"", ""GADD45A"", ""CDK6"", ""TRIP13"", ""PCNA"", ""DBF4"", ""BUB1B"", ""ANAPC10"", ""PPP2R5E"", ""CDK1"", ""CDT1"", ""PPP2CB"", ""PDS5B"", ""TFDP1"", ""YWHAQ"", ""CDC6"", ""NIPBL"", ""CDC16"", ""CDC27"", ""PPP2R5A"", ""CDK7"", ""CCNB1"", ""SMC1A"", ""CHEK1"", ""MCM6"", ""CDC7"", ""ORC4"", ""YWHAZ"", ""CDKN1C"", ""STAG2"", ""CCNA2"", ""CDKN1B"", ""MCM3"", ""PDS5A"", ""MCM4"", ""CDKN2A"", ""BUB1"", ""ANAPC13"", ""CCNB2"", ""RB1"", ""MCM7"", 
""STAG1"", ""E2F5"", ""RBL1"", ""ORC1"", ""CDCA5"", ""ESCO2"", ""WEE1"", ""ANAPC1"", ""YWHAE"", ""E2F3"", ""ANAPC4"", ""TFDP2"", ""SKP2"", ""CDK4"", ""ESPL1"", ""ORC2"", ""RBL2"", ""ORC6"", ""CDKN2B"", ""PRKDC"")"
"40","hsa04114 Oocyte meiosis",0.566302652106084,0.863635278672873,0.0605092988656667,-0.301720795019761,-0.915950842816956,120,"c(""SMC1B"", ""PGR"", ""SPDYE4"", ""SMC3"", ""SLK"", ""RPS6KA6"", ""MAD2L1"", ""SGO1"", ""CDC20"", ""CCNE2"", ""CALML4"", ""AR"", ""FBXO5"", ""ADCY5"", ""SPDYA"", ""IGF1"", ""ANAPC10"", ""PPP2R5E"", ""CDK1"", ""PPP2CB"", ""ADCY8"", ""AURKA"", ""YWHAQ"", ""CDC16"", ""CDC27"", ""PPP2R5A"", ""CCNB1"", ""SMC1A"", ""SPDYE21"", ""RPS6KA3"", ""ITPR3"", ""YWHAZ"", ""CALM2"", ""PPP3CA"", ""BUB1"", ""ANAPC13"", ""CCNB2"", ""CAMK2D"", ""PPP1CB"", ""ADCY1"", ""ANAPC1"", ""CALM1"", ""YWHAE"", ""CPEB2"", ""ANAPC4"")"
